Post Date,Post Subtype,Post Type,Avg Likes Per post,Number Of Comments,Number Of Likes,Number Of Posts
01-Jan-23,Text Post,Text Post,1,4,5,5
01-Jan-23,Level,Visual,0.022471910,0,2,89
01-Jan-23,Goal,Visual,0.475409836,0,29,61
01-Jan-23,Streak,Visual,0.2,0,6,30
01-Jan-23,Collection,Visual,0.025,0,1,40
01-Jan-23,Course Certificate,Visual,0.179487179,0,7,39
02-Jan-23,Text Post,Text Post,1,1,1,1
02-Jan-23,Level,Visual,0.007462687,0,1,134
02-Jan-23,Goal,Visual,0.25,0,1,4
02-Jan-23,Streak,Visual,0.157894737,0,3,19
02-Jan-23,Collection,Visual,0,0,0,74
02-Jan-23,Course Certificate,Visual,0.258620690,0,15,58
03-Jan-23,Text Post,Text Post,1,1,1,1
03-Jan-23,Level,Visual,0.044117647,0,6,136
03-Jan-23,Streak,Visual,0.2,0,3,15
03-Jan-23,Collection,Visual,0,0,0,79
03-Jan-23,Course Certificate,Visual,0.305555556,0,11,36
04-Jan-23,Text Post,Text Post,1,1,3,3
04-Jan-23,Level,Visual,0.022058824,0,3,136
04-Jan-23,Streak,Visual,0.222222222,0,4,18
